company_id,type,rule_id,text,confidence_pct,below_threshold
BOSCHLTD,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
BOSCHLTD,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BOSCHLTD,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0,False
BOSCHLTD,pro,PRO-FALLBACK,Return on equity of 20.6% reflects the company's baseline capital efficiency.,61.919761273209545,False
BOSCHLTD,con,CON-FALLBACK,Debt-to-equity of 0.00 is a general leverage level worth monitoring alongside sector peers.,5.0,True
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
BPCL,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
BPCL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BPCL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,82.0,False
BPCL,pro,PRO-FALLBACK,Return on equity of 35.5% reflects the company's baseline capital efficiency.,95.0,False
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
BRITANNIA,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
BRITANNIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
BRITANNIA,pro,PRO-FALLBACK,Return on equity of 54.1% reflects the company's baseline capital efficiency.,95.0,False
BRITANNIA,con,CON-FALLBACK,Debt-to-equity of 0.52 is a general leverage level worth monitoring alongside sector peers.,10.479573712255771,True
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
CANBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
CANBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
CANBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
CANBK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
CANBK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
CANBK,con,CON-FALLBACK,Debt-to-equity of 14.87 is a general leverage level worth monitoring alongside sector peers.,95.0,False
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
CHOLAFIN,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88.0,False
CHOLAFIN,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
CHOLAFIN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
CHOLAFIN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
CHOLAFIN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
CHOLAFIN,con,CON-FALLBACK,Debt-to-equity of 6.86 is a general leverage level worth monitoring alongside sector peers.,95.0,False
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
CIPLA,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
CIPLA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
CIPLA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0,False
CIPLA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
COALINDIA,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
COALINDIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
COALINDIA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
COALINDIA,pro,PRO-FALLBACK,Return on equity of 45.2% reflects the company's baseline capital efficiency.,95.0,False
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
DABUR,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
DIVISLAB,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,82.0,False
DLF,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
DLF,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
DLF,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
DLF,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
DLF,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75.0,False
DMART,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
DMART,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
DMART,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
DMART,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
DMART,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
DMART,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0,False
DMART,con,CON-FALLBACK,Debt-to-equity of 0.03 is a general leverage level worth monitoring alongside sector peers.,5.0,True
DRREDDY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
DRREDDY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
DRREDDY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
DRREDDY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
DRREDDY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
DRREDDY,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
DRREDDY,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
DRREDDY,con,CON-FALLBACK,Debt-to-equity of 0.07 is a general leverage level worth monitoring alongside sector peers.,5.0,True
EICHERMOT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
EICHERMOT,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
EICHERMOT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
EICHERMOT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
EICHERMOT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
EICHERMOT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
EICHERMOT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
EICHERMOT,pro,PRO-FALLBACK,Return on equity of 22.2% reflects the company's baseline capital efficiency.,66.51704073150458,False
GAIL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
GAIL,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
GAIL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,82.0,False
GAIL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
GODREJCP,con,CON-04,Company reported a net loss in the most recent financial year,95.0,False
GODREJCP,pro,PRO-FALLBACK,Return on equity of -4.5% reflects the company's baseline capital efficiency.,5.0,True
GRASIM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
GRASIM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
GRASIM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
GRASIM,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
GRASIM,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,82.0,False
GRASIM,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.0,False
GRASIM,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.0,False
HAL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
HAL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
HAL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
HAL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
HAL,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
HAL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0,False
HAL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0,False
HAL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0,False
HAL,pro,PRO-FALLBACK,Return on equity of 3816.6% reflects the company's baseline capital efficiency.,95.0,False
HAVELLS,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
HAVELLS,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
HAVELLS,con,CON-FALLBACK,Debt-to-equity of 0.04 is a general leverage level worth monitoring alongside sector peers.,5.0,True
HCLTECH,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,False
HCLTECH,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,88.0,False
HCLTECH,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.0,False
HCLTECH,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.0,False
HCLTECH,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0,False
HCLTECH,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0,False
HCLTECH,pro,PRO-FALLBACK,Return on equity of 23.0% reflects the company's baseline capital efficiency.,69.04179423699516,False
HDFCBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0,False
HDFCBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0,False
HDFCBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0,False
